Sample,Analysis,Al_T,Si,Na_B,NaK_A,EndMember
EA,EA6c-Amp3,0.008,7.992,0.192,0,Act
EA,EAALT1-AMP3,0.015,7.985,1.828,0,Gln
EA,EA6c-Amp3,0.015,7.985,0.186,0.014,Act
EA,EAALT1-AMP3,0,8,1.869,0.016,Gln
EA,EA6c-AMP2,0.197,7.803,0.363,0.021,Act
EA,EA6c-Amp3,0.059,7.941,0.219,0.022,Act
EA,EA6c-Amp1,0.183,7.817,0.301,0.027,Act
EA,EA6c-Amp3,0.181,7.819,0.343,0.028,Act
EA,EA6c-Amp3,0.318,7.682,0.413,0.031,Act
EA,EAALT1-AMP3,0.025,7.975,1.829,0.042,Gln
EA,EA6c-Amp1,0.221,7.779,0.381,0.043,Act
EA,EA6c-Amp3,0.182,7.818,0.355,0.043,Act
EA,EA6c-Amp3,0.188,7.812,0.344,0.048,Act
EA,EA6c-AMP2,0.236,7.764,0.319,0.06,Act
EA,EA6c-AMP2,0.266,7.734,0.391,0.065,Act
EA,EA6c-Amp1,0.271,7.729,0.352,0.066,Act
EA,EA6c-Amp1,0.249,7.751,0.416,0.069,Act
EA,EA6c-Amp3,0.343,7.657,0.401,0.069,Act
EA,EA6c-Amp1,0.255,7.745,0.345,0.07,Act
EA,EA6c-AMP2,0.228,7.772,0.296,0.07,Act
EA,EA6c-Amp1,0.266,7.734,0.355,0.078,Act
EA,EA6c-Amp3,0.303,7.697,0.384,0.084,Act
EA,EA6c-AMP2,0.177,7.823,0.303,0.085,Act
EA,EA6c-AMP2,0.223,7.777,0.368,0.086,Act
EA,EA6c-Amp3,0.391,7.609,0.434,0.09,Act
EA,EA6c-Amp3,0.414,7.586,0.442,0.092,Act
EA,EA6c-Amp3,0.344,7.656,0.423,0.093,Act
EA,EA6c-Amp3,0.405,7.595,0.417,0.097,Act
EA,EA6c-Amp3,0.361,7.639,0.406,0.098,Act
EA,EA6c-Amp1,0.253,7.747,0.347,0.099,Act
EA,EA6c-Amp3,0.37,7.63,0.393,0.102,Act
EA,EA6c-Amp1,0.28,7.72,0.375,0.103,Act
EA,EA6c-Amp3,0.434,7.566,0.413,0.11,Act
EA,EA6c-Amp3,0.361,7.639,0.405,0.111,Act
EA,EA6c-Amp3,0.342,7.658,0.398,0.112,Act
EA,EA6c-Amp1,0.341,7.659,0.415,0.114,Act
EA,EA6c-AMP2,0.272,7.728,0.402,0.116,Act
EA,EA6c-Amp3,0.321,7.679,0.393,0.14,Act
EA,EA6c-Amp1,0.303,7.697,0.504,0.142,Wch
EA,EA6c-AMP5,0.586,7.414,0.615,0.158,Brs
EA,EA6c-Amp1,0.349,7.651,0.4,0.168,Act
EA,EA6c-AMP5,0.58,7.42,0.756,0.177,Brs
EA,EA6c-AMP5,0.54,7.46,0.665,0.179,Brs
EA,EA6c-AMP5,0.561,7.439,0.73,0.183,Brs
EA,EA6c-Amp1,0.385,7.615,0.383,0.186,Act
EA,EA6c-AMP5,0.544,7.456,0.715,0.202,Brs
EA,EA6c-AMP5,0.543,7.457,0.678,0.203,Brs
EA,EA6c-AMP5,0.487,7.513,0.607,0.205,Wch
EA,EA6c-AMP5,0.537,7.463,0.723,0.217,Brs
EA,EA6c-AMP5,0.563,7.437,0.715,0.223,Brs
EA,EA6c-AMP5,0.56,7.44,0.719,0.226,Brs
EA,EA6c-AMP5,0.622,7.378,0.702,0.228,Brs
EA,EA6c-AMP5,0.559,7.441,0.704,0.229,Brs
EA,EA6c-AMP5,0.53,7.47,0.578,0.236,Brs
EA,EA6c-AMP5,0.627,7.373,0.687,0.239,Brs
EA,EA6c-AMP5,0.609,7.391,0.742,0.239,Brs
EA,EA6c-AMP5,0.56,7.44,0.59,0.245,Brs
EA,EA6c-AMP5,0.644,7.356,0.691,0.245,Brs
EA,EA6c-AMP5,0.686,7.314,0.782,0.249,Brs
EA,EA6c-AMP5,0.584,7.416,0.677,0.259,Brs
EA,EA6c-AMP5,0.662,7.338,0.776,0.261,Brs
EA,EA6c-AMP5,0.649,7.351,0.76,0.262,Brs
EA,EA6c-AMP5,0.613,7.387,0.686,0.267,Brs
EA,EA6c-AMP5,0.647,7.353,0.682,0.268,Brs
EA,EA6c-AMP5,0.53,7.47,0.556,0.272,Brs
EA,EA6c-AMP5,0.679,7.321,0.723,0.272,Brs
EA,EAALT1-AMP3,0.242,7.758,1.115,0.275,Wch
EA,EA6c-AMP5,0.614,7.386,0.634,0.277,Brs
EA,EA6c-AMP5,0.738,7.262,0.687,0.279,Brs
EA,EA6c-AMP5,0.634,7.366,0.729,0.282,Brs
EA,EA6c-AMP2,0.69,7.31,0.585,0.286,Brs
EA,EA6c-AMP5,0.639,7.361,0.648,0.297,Brs
EA,EA6c-AMP5,0.592,7.408,0.651,0.3,Brs
EA,EA6c-AMP2,0.828,7.172,0.652,0.332,Brs
EA,EA6c-AMP2,0.744,7.256,0.571,0.347,Brs
EA,EA6c-AMP2,0.711,7.289,0.604,0.347,Brs
EA,EA6c-AMP2,0.738,7.262,0.56,0.362,Brs
EA,EAALT1-AMP3,0.757,7.243,0.579,0.369,Brs
EA,EAALT1-AMP3,0.767,7.233,0.46,0.373,Mhb
EA,EAAlt1-AMP2,0.805,7.195,0.603,0.407,Brs
EA,EAALT1-AMP3,0.924,7.076,0.581,0.426,Brs
EA,EAALT1-AMP3,1.066,6.934,0.619,0.443,Brs
EA,EAALT1-AMP3,0.936,7.064,0.625,0.461,Brs
EA,EA6c-Amp1,0.978,7.022,0.551,0.468,Brs
EA,EAAlt1-AMP2,1.03,6.97,0.576,0.477,Brs
EA,EAAlt1-AMP2,1.011,6.989,0.544,0.485,Brs
EA,EAALT1-AMP3,0.924,7.076,0.593,0.486,Brs
EA,EA6c-AMP2,1.112,6.888,0.568,0.495,Brs
EA,EAALT1-AMP3,0.999,7.001,0.641,0.503,Mkt
EA,EAAlt1-AMP2,1.109,6.891,0.592,0.504,Mkt
EA,EAAlt1-AMP2,1.174,6.826,0.565,0.506,Mkt
EA,EAALT1-AMP3,1.119,6.881,0.577,0.507,Mkt
EA,EA6c-Amp1,1.229,6.771,0.542,0.508,Mkt
EA,EA6c-AMP2,1.16,6.84,0.525,0.515,Mkt
EA,EA6c-Amp1,1.148,6.852,0.513,0.517,Mkt
EA,EA6c-Amp1,1.212,6.788,0.542,0.517,Mkt
EA,EAALT1-AMP3,1.133,6.867,0.573,0.521,Mkt
EA,EAALT1-AMP3,1.091,6.909,0.582,0.522,Mkt
EA,EA6c-Amp1,1.178,6.822,0.525,0.531,Mkt
EA,EA6c-Amp1,1.145,6.855,0.527,0.533,Mkt
EA,EAALT1-AMP3,1.222,6.778,0.605,0.537,Mkt
EA,EA6c-AMP2,1.205,6.795,0.542,0.539,Mkt
EA,EAALT1-AMP3,1.062,6.938,0.587,0.539,Mkt
EA,EAALT1-AMP3,1.177,6.823,0.586,0.541,Mkt
EA,EAAlt1-AMP2,1.177,6.823,0.553,0.542,Mkt
EA,EAALT1-AMP3,1.246,6.754,0.576,0.543,Mkt
EA,EAALT1-AMP3,1.123,6.877,0.608,0.544,Mkt
EA,EAAlt1-AMP2,1.202,6.798,0.575,0.548,Mkt
EA,EA6c-Amp1,1.224,6.776,0.534,0.552,Mkt
EA,EA6c-AMP2,1.112,6.888,0.539,0.552,Mkt
EA,EAALT1-AMP3,1.164,6.836,0.555,0.553,Mkt
EA,EA6c-AMP2,1.29,6.71,0.559,0.556,Mkt
EA,EA6c-AMP2,1.139,6.861,0.523,0.558,Mkt
EA,EA6c-AMP2,1.216,6.784,0.53,0.56,Mkt
EA,EA6c-Amp1,1.172,6.828,0.535,0.564,Mkt
EA,EA6c-AMP2,1.284,6.716,0.533,0.565,Mkt
EA,EA6c-AMP2,1.208,6.792,0.527,0.565,Mkt
EA,EA6c-AMP2,1.147,6.853,0.52,0.575,Mkt
EA,EA6c-AMP2,1.147,6.853,0.52,0.575,Mkt
