Sample,Location,Q,Jd,Ae,Label
EA,Garnet,0.51,0.36,0.13,EA6aJ.0.1
EA,Garnet,0.76,0.11,0.13,EA6aJ.0.2
EA,Garnet,0.74,0.11,0.15,EA6aJ.0.3
EA,Garnet,0.48,0.37,0.15,EA6aJ.0.5
EA,Garnet,0.79,0.06,0.15,EA6aJ.0.7
EA,Garnet,0.48,0.37,0.16,EA6aJ.0.8
EA,Garnet,0.49,0.29,0.22,EA6aJ.0.10
EA,Garnet,0.47,0.36,0.18,EA6aJ.0.11
EA,Garnet,0.57,0.26,0.16,EA6aJ.0.12
EA,Garnet,0.57,0.27,0.16,EA6aJ.0.15
EA,Garnet,0.49,0.32,0.19,EA6aJ.0.16
EA,Garnet,0.44,0.44,0.11,EA6aJ.0.17
EA,Garnet,0.47,0.3,0.22,EA6aJ.0.18
EA,Garnet,0.5,0.35,0.16,EA6aJ.0.20
EA,Matrix,0.64,0.28,0.09,EA6aQ.0.1
EA,Matrix,0.62,0.31,0.07,EA6aQ.0.2
EA,Matrix,0.5,0.43,0.07,EA6aQ.0.3
EA,Matrix,0.55,0.4,0.04,EA6aQ.0.4
EA,Matrix,0.54,0.4,0.07,EA6aQ.0.5
EA,Matrix,0.62,0.29,0.09,EA6aQ.0.6
EA,Matrix,0.64,0.3,0.07,EA6aQ.0.7
EA,Matrix,0.64,0.29,0.08,EA6aQ.0.8
EA,Matrix,0.53,0.41,0.06,EA6aQ.0.9
EA,Matrix,0.55,0.35,0.1,EA6aQ.0.10
EA,Matrix,0.6,0.3,0.1,EA6aQ.0.11
EA,Matrix,0.64,0.26,0.09,EA6aQ.0.12
EA,Matrix,0.55,0.39,0.06,EA6bL.0.1
EA,Matrix,0.56,0.33,0.11,EA6bL.0.2
EA,Matrix,0.56,0.36,0.08,EA6bL.0.3
EA,Matrix,0.53,0.38,0.08,EA6bL.0.4
EA,Matrix,0.56,0.39,0.05,EA6bL.0.5
EA,Matrix,0.52,0.41,0.07,EA6bL.0.6
EA,Matrix,0.53,0.38,0.09,EA6bL.0.7
EA,Matrix,0.65,0.28,0.07,EA6bL.0.8
EA,Matrix,0.64,0.27,0.08,EA6bL.0.9
EA,Matrix,0.55,0.35,0.1,EA6bL.0.10
EA,Matrix,0.59,0.36,0.05,EA6bL.0.11
EA,Matrix,0.55,0.37,0.08,EA6bL.0.12
EA,Matrix,0.56,0.38,0.06,EA6bL.0.13
EA,Matrix,0.63,0.29,0.09,EA6bL.0.14
EA,Matrix,0.53,0.4,0.07,EA6bL.0.15
EA,Matrix,0.54,0.37,0.1,EA6bL.0.16
EA,Matrix,0.58,0.31,0.11,EA6bL.0.17
EA,Matrix,0.54,0.35,0.11,EA6bL.0.18
EA,Garnet,0.52,0.38,0.1,EA6bC.0.2
EA,Garnet,0.74,0.15,0.11,EA6bC.0.3
EA,Garnet,0.51,0.37,0.12,EA6bC.0.4
EA,Garnet,0.52,0.37,0.12,EA6bC.0.5
EA,Matrix,0.55,0.38,0.07,EA6dA.0.1
EA,Matrix,0.57,0.35,0.08,EA6dA.0.2
