Ref,Authors,Date,Age,Error,Method,Minerals,RockType,Rock,Location,Sample,Notes
145,McDowell et al. ,1984,143,14,K-Ar,Hbl,Gabbro,p,Bear Valley-Hwy 20,55,"CRO, Wilbur Springs area"
146,McDowell et al. ,1984,143,6,K-Ar,Hbl,Gabbro,p,Paskenta,56,"CRO, Elder Cr"
46,Hopson et al. ,1981,144,2,U-Pb,Zrn,Plagiogranite,pg,Santa Cruz Island,A,"CRO?, 206/238; error unspecified"
147,McDowell et al. ,1984,144,6,K-Ar,Hbl,Gabbro,p,Paskenta,57,"CRO, Elder Cr"
30,Evarts et al.*** ,1992,149,5,FT,Zrn,Mafic dikes,d,Del Puerto,,"CRO, error unspecified"
31,Evarts et al.*** ,1992,150,6,FT,Zrn,Felsic dikes,d,Del Puerto,,"CRO, error unspecified"
32,Evarts et al.*** ,1992,150,2,Ar-Ar,Hbl,Rhyolite,v,Del Puerto,,"CRO, error unspecified"
33,Evarts et al.*** ,1992,150,2,Ar-Ar,Hbl,Andesite,v,Del Puerto,,"CRO, error unspecified"
41,Hopson et al. ,1981,152,3,U-Pb,Zrn,Plagiogranite,pg,San Luis Obispo,,"CRO, 206/238 concordant; error unspecified"
56,Lanphere*,1971,155,10,K-Ar,Hbl,Gabbro dike,d,S.Fk Elder Creek,70CLe-12,CRO
38,Hopson et al. ,1981,155,2,U-Pb,Zrn,Plagiogranite,pg,Del Puerto,,"CRO, 206/238 concordant; error unspecified"
37,Hopson et al. ,1981,156,2,U-Pb,Zrn,Plagiogranite,pg,Red Mtn,,"CRO, 206/238 concordant; error unspecified"
29,Evarts et al.*** ,1992,157,2,Ar-Ar,Hbl,Tonalite,p,Del Puerto,,"CRO, error unspecified"
43,Hopson et al. ,1981,160,2,U-Pb,Zrn,Plagiogranite,pg,Point Sal,m,"CRO, 206/238 concordant; error unspecified"
42,Hopson et al. ,1981,161,2,U-Pb,Zrn,Plagiogranite,pg,Point Sal,nm,"CRO, 206/238 concordant; error unspecified"
48,Hopson et al. ,2008,161.1,0.1,U-Pb,Zrn,Plagiogranite,pgs,Del Puerto,RM11-2,"CRO, 206/238 CA-TIMS"
47,Hopson et al. ,2008,161.2,0.1,U-Pb,Zrn,Plagiogranite,pgs,Del Puerto,DP75-13,"CRO, 206/238 CA-TIMS"
58,Lanphere*,1971,162,10,K-Ar,Amp,Peridotite,u,Mt. Boardman,70CLe-35,"CRO, Red Mtn-Del Puerto"
45,Hopson et al. ,1981,162,2,U-Pb,Zrn,Plagiogranite,pg,Santa Cruz Island,Wf,"S. CA,206/238 concordant; error unspecified"
49,Hopson et al. ,2008,162.1,0.4,U-Pb,Zrn,Albitite,pgs,Llanada,VC-10-1,"CRO, 206/238 CA-TIMS"
36,Hopson et al. ,1981,163,2,U-Pb,Zrn,Plagiogranite,pg,Healdsburg,,"CRO, 206/238 concordant; error unspecified"
39,Hopson et al. ,1981,163,2,U-Pb,Zrn,Plagiogranite,pg,Llanada,c,"CRO, 206/238 concordant; error unspecified"
52,Hopson et al. ,2008,163,1,U-Pb,Ap-Pl,Gabbro,p,Cuesta Ridge,,"CRO, Isochron; Missing Mattinson (2007) ref"
288,Fritz,1975,163,5,K-Ar,Hbl,Hbl gabbro,p,S. Fk. Elder Creek,,"CRO, as cited by Hopson et al., 1981"
173,Shervais et al.,2005a,164,4,U-Pb,Zrn,Qtz Di gneiss,p,Stonyford,SFV-58-2,"CRO?, mswd=6.3; unlike CRO"
176,Shervais et al.,2005a,163.8,0.8,Ar-Ar,Glass,hyaloclastite,glass,Stonyford,SFVG5,CRO?
57,Lanphere*,1971,164,16,K-Ar,Hbl,Gabbro,p,Mt. Boardman,70CLe-30,"CRO, Red Mtn-Del Puerto"
40,Hopson et al. ,1981,164,2,U-Pb,Zrn,Plagiogranite,pg,Llanada,f,"CRO, 206/238 concordant; error unspecified"
151,McLaughlin&Ohln,1984,164,0,U-Pb ,Spn,Plagiogranite,pg,Harbin Springs,,"CRO,concordant, Mattinson, 1981; no  data"
175,Shervais et al.,2005a,164,0.5,Ar-Ar,Glass,hyaloclastite,glass,Stonyford,SFVG4,CRO?
174,Shervais et al.,2005a,164.4,0.4,Ar-Ar,Glass,hyaloclastite,glass,Stonyford,SFVG2,CRO?
177,Shervais et al.,2005a,164.6,0.7,Ar-Ar,Glass,hyaloclastite,glass,Stonyford,SFVG8,CRO?
172,Shervais et al.,2005a,165,5,U-Pb,Zrn,Qtz Diorite dike,p,Stonyford,SFV-109-2,"CRO?, mswd=6.5"
44,Hopson et al. ,1981,165,2,U-Pb,Zrn,Plagiogranite,pg,Santa Cruz Island,Wc,"S. CA,206/238 concordant; error unspecified"
83,Mankinen et al.,1991,165,0,U-Pb,Zrn,Leucocratic dikes,d,Mt. Diablo,,"CRO, Mattinson, 1982; No supporting data"
86,Mattinson&Hopson,2008,165.6,0.4,U-Pb,Zrn,Plagiogranite,pgs,Point Sal/San Simeon,,"CRO, mean of three plateau"
