Reference,Authors,Date,Age,Error,Method,Minerals,RockType,Rock,Location,Sample,Notes
55,Keith&Coleman*,1968,41.6,4,K-Ar,Jd+Amp,Ab-Jd-Gln schist,bs,Valley Ford,,
54,Keith&Coleman*,1968,77,7.5,K-Ar,Gln,Ab-Jd-Gln schist,bs,Valley Ford,,
53,Keith&Coleman*,1968,82.4,20.1,K-Ar,Ab,Ab-Jd-Gln schist,bs,Valley Ford,,
85,Mattinson&Echeverria,1980,92,1.4,U-Pb,"Ttn-""Pl""",Gabbro,gb,Ortigalita Peak,"OP1, OP2",Isochron
84,Mattinson&Echeverria,1980,95,0.5,U-Pb,Zrn,Gabbro,gb,Ortigalita Peak,OP2,206/238; Concordant
118,McDowell et al.,1984,108,8,K-Ar,ba,Gln schist,bs,Hull Mtn,22,Poison Rock Melange
166,Peterman et al,1967,112,16,Rb-Sr,wr,Graywacke,ms,Yolla Bolly Quad,,"wr ""isochron"""
214,Suppe&Armstrong*,1972,118,6,K-Ar,wm,,mm,Pacheco Pass,X111M,
194,Suppe&Armstrong*,1972,119,6,K-Ar,ba,,mm,Leech Lake Mtn.,199,
279,Wakabayashi&Dimitru,2007,120.53,1.3,Ar-Ar,wm,Metachert,ms,Tomhead Mtn,SFM-13,Plateau
281,Wakabayashi&Dimitru,2007,121.8,7.4,Ar-Ar,wm,Metachert,ms,Tomhead Mtn,SFM-4c,Isochron
115,McDowell et al.,1984,122,6,K-Ar,ba,Gln schist,bs,Hull Mtn,18,Poison Rock Melange
280,Wakabayashi&Dimitru,2007,122,3.6,Ar-Ar,wm,Metavolcanic,mv,Tomhead Mtn,SFM-1x,Isochron
25,Coleman&Lanphere*,1971,123,24,K-Ar,ba,Grt-Gln schist,bs,Crevison Pk,7-70,Table 2
215,Suppe&Armstrong*,1972,125,6,K-Ar,ba,,mm,Pacheco Pass,X111G,
154,Mulcahy et al.,2014,129.2,1.2,Lu-Hf,Lws-wr,Grt-Lws bs,bs,Berkeley Hills,BH-1,
277,Wakabayashi&Dimitru,2007,132,,Ar-Ar,wm,Metagraywacke,ms,Skagg's Springs,NS-10,High-T steps
278,Wakabayashi&Dimitru,2007,132,,Ar-Ar,wm,Metagraywacke,ms,Skagg's Springs,FR-10,High-T steps
274,Wakabayashi&Dimitru,2007,132.1,0.4,Ar-Ar,wm,Grt bs,bs,Panoche/Gln Ridge,Diab-4,Total fusion
82,Lee et al.*,1964,133,7,K-Ar,wm,metashale,ms,"Cazadero, CA",26CZ59,
249,Suppe&Foland,1979,133,12,K-Ar,ba,Metachert,ms,Goat Mtn,C-691,Goat Mtn Schist
275,Wakabayashi&Dimitru,2007,134.2,0.8,Ar-Ar,wm,Ep bs,bs,Panoche/Willow Sp,Diab-41,Total fusion
14,Coleman&Lanphere*,1971,135,10,K-Ar,ba,Grt-Gln schist,bs,"Roseburg, OR",10-58,Table 2
16,Coleman&Lanphere*,1971,135,16,K-Ar,ba,Grt-Gln schist,bs,"Roseburg, OR",29-69,Table 2
19,Coleman&Lanphere*,1971,135,26,K-Ar,ba,Gln schist,bs,"Sixes River, OR",56-69,Table 2
103,McDowell et al.,1984,136,8,K-Ar,ba,Gln schist,bs,Covelo-Layton.,9,Eel River melange
112,McDowell et al.,1985,136,6,K-Ar,ba,Gln schist,bs,Hull Mtn,16,Poison Rock Melange
116,McDowell et al.,1984,137,6,K-Ar,ba,Gln schist,bs,Hull Mtn,19,Poison Rock Melange
