Ref,Authors,Date,Age,Error,Method,Minerals,RockType,Rock,Location,Sample,Notes
229,Suppe&Armstrong*,1972,72,3,K-Ar,wr,,wr,Sur-Nacimiento,W-69-226,
227,Suppe&Armstrong*,1972,76,4,K-Ar,wr,,wr,Sur-Nacimiento,W-69-22,
218,Suppe&Armstrong*,1972,78,4,K-Ar,wr,,wr,Pacheco Pass,DR203A,
213,Suppe&Armstrong*,1972,85,4,K-Ar,wr,,wr,Pacheco Pass,AR-1,
257,Suppe&Foland,1978,89,4,K-Ar,wr,Metagraywacke,wr,Goat Mtn,C-687,Pacific Ridge
222,Suppe&Armstrong*,1972,90,4,K-Ar,wr,,wr,Pacheco Pass,DR249,
228,Suppe&Armstrong*,1972,90,4,K-Ar,wr,,wr,Sur-Nacimiento,W-69-59,
220,Suppe&Armstrong*,1972,92,4,K-Ar,wr,,wr,Pacheco Pass,DR8,
221,Suppe&Armstrong*,1972,92,4,K-Ar,wr,,wr,Pacheco Pass,DR79,
254,Suppe&Foland,1978,94,6,K-Ar,wr,Metagraywacke,wr,Goat Mtn,C-169,Pacific Ridge
219,Suppe&Armstrong*,1972,95,4,K-Ar,wr,,wr,Pacheco Pass,DR7,
196,Suppe&Armstrong*,1972,95,4,K-Ar,wr,,wr,Leech Lake Mtn.,914,
76,Lanphere et al.,1978,100,6,K-Ar,wr,Metagraywacke2,wr,Pickett Peak,P-1013c,
75,Lanphere et al.,1978,103,6,Ar-Ar,wr,Metagraywacke1,wr,Pickett Peak,P-48,
73,Lanphere et al.,1978,106,6,Ar-Ar,wr,Metagraywacke1,wr,Pickett Peak,P-48,
189,Suppe*,1969,106,3,K-Ar,wr,Lws-Ab-Chl schist,wr,Leech Lake Mtn.,401,Lws 2 zone
207,Suppe&Armstrong*,1972,106,4,K-Ar,wr,,wr,Ball Mtn.,2035,
195,Suppe&Armstrong*,1972,107,4,K-Ar,wr,,wr,Leech Lake Mtn.,197,
198,Suppe&Armstrong*,1972,107,4,K-Ar,wr,,wr,Ball Mtn.,1816,
223,Suppe&Armstrong*,1972,108,4,K-Ar,wr,,wr,Pacheco Pass,DR55,
190,Suppe*,1969,110,3,K-Ar,wr,Lws-Ab-Chl schist,wr,Leech Lake Mtn.,420,Lws 2 zone
191,Suppe*,1969,112,3,K-Ar,wr,Lws-Ab-Chl schist,wr,Leech Lake Mtn.,653,Lws 2 zone
61,Lanphere et al.,1978,112,4,Ar-Ar,wr,Metagraywacke2,wr,Yolla Bolly,62YB-29,
63,Lanphere et al.,1978,112,3,Ar-Ar,wr,Metagraywacke3-,wr,Yolla Bolly,70Cle-20,
216,Suppe&Armstrong*,1972,112,4,K-Ar,wr,,wr,Pacheco Pass,DR185,
256,Suppe&Foland,1978,112,4,K-Ar,wr,Metagraywacke,wr,Goat Mtn,C-380,Pacific Ridge
137,McDowell et al. ,1984,113,4,K-Ar,wr,phyllite,wr,Paskenta,42,S. Fk. Mtn. Schist
59,Lanphere et al.,1978,114,4,Ar-Ar,wr,Metagraywacke1,wr,Yolla Bolly,63YB-65,
60,Lanphere et al.,1978,114,4,Ar-Ar,wr,Metagraywacke2,wr,Yolla Bolly,62YB-31B,
62,Lanphere et al.,1978,114,4,Ar-Ar,wr,Metabasalt3-,wr,Yolla Bolly,70YB-3A,
217,Suppe&Armstrong*,1972,114,4,K-Ar,wr,,wr,Pacheco Pass,DR202B,
199,Suppe&Armstrong*,1972,114,4,K-Ar,wr,,wr,Ball Mtn.,1858,
65,Lanphere et al.,1978,116,5,Ar-Ar,wr,Metagraywacke3,wr,Yolla Bolly,70Cle-22,
197,Suppe&Armstrong*,1972,116,4,K-Ar,wr,,wr,Leech Lake Mtn.,1160,
204,Suppe&Armstrong*,1972,117,4,K-Ar,wr,,wr,Ball Mtn.,1895,
138,McDowell et al. ,1984,117,4,K-Ar,wr,Qtz Mica schist,wr,Paskenta,44,S. Fk. Mtn. Schist
200,Suppe&Armstrong*,1972,118,4,K-Ar,wr,,wr,Ball Mtn.,1844,
67,Lanphere et al.,1978,119,16,Ar-Ar,wr,Metagraywacke3,wr,Yolla Bolly,64YB-9,
224,Suppe&Armstrong*,1972,119,4,K-Ar,wr,,wr,Pacheco Pass,DR291,
64,Lanphere et al.,1978,120,4,Ar-Ar,wr,Metagraywacke3,wr,Yolla Bolly,70Cle-21,
66,Lanphere et al.,1978,120,4,Ar-Ar,wr,Metagraywacke3-,wr,Yolla Bolly,63YB-84,
70,Lanphere et al.,1978,120,4,Ar-Ar,wr,Metabasalt3,wr,Yolla Bolly,63YB-109,
77,Lanphere et al.,1978,120,7,K-Ar,wr,Metagraywacke3,wr,off their map,65Cle-34a,
69,Lanphere et al.,1978,121,3,Ar-Ar,wr,Metagraywacke3,wr,Yolla Bolly,64YB-13,
74,Lanphere et al.,1978,121,5,Ar-Ar,wr,Metagraywacke3,wr,Pickett Peak,P-1016,
128,McDowell et al. ,1984,121,4,K-Ar,wr,Qtz Mica schist,wr,Hull Mtn,33,S. Fk. Mtn. Schist
205,Suppe&Armstrong*,1972,122,4,K-Ar,wr,,wr,Ball Mtn.,1925,
71,Lanphere et al.,1978,122,4,Ar-Ar,wr,Metagraywacke3,wr,Yolla Bolly,63BR-11,
125,McDowell et al. ,1984,122,4,K-Ar,wr,Qtz Mica schist,wr,Hull Mtn,30,S. Fk. Mtn. Schist
127,McDowell et al. ,1984,122,4,K-Ar,wr,Qtz Mica schist,wr,Hull Mtn,32,S. Fk. Mtn. Schist
135,McDowell et al. ,1984,122,4,K-Ar,wr,Qtz Mica schist,wr,Paskenta,40,S. Fk. Mtn. Schist
126,McDowell et al. ,1984,123,4,K-Ar,wr,Qtz Mica schist,wr,Hull Mtn,31,S. Fk. Mtn. Schist
203,Suppe&Armstrong*,1972,124,4,K-Ar,wr,,wr,Ball Mtn.,1915,
129,McDowell et al. ,1984,124,4,K-Ar,wr,Qtz Mica schist,wr,Hull Mtn,34,S. Fk. Mtn. Schist
208,Suppe&Armstrong*,1972,125,4,K-Ar,wr,,wr,Ball Mtn.,2057,
122,McDowell et al. ,1984,125,4,K-Ar,wr,Qtz Mica schist,wr,Hull Mtn,27,S. Fk. Mtn. Schist
136,McDowell et al. ,1984,125,6,K-Ar,wr,Qtz Mica schist,wr,Paskenta,41,S. Fk. Mtn. Schist
141,McDowell et al. ,1984,125,4,K-Ar,wr,Qtz Mica schist,wr,Paskenta,46,S. Fk. Mtn. Schist
124,McDowell et al. ,1984,126,10,K-Ar,wr,Qtz Mica schist,wr,Hull Mtn,29,S. Fk. Mtn. Schist
130,McDowell et al. ,1984,126,6,K-Ar,wr,Qtz Mica schist,wr,Hull Mtn,35,S. Fk. Mtn. Schist
188,Suppe*,1969,126,4,K-Ar,wr,Lws-Ab-Chl schist,wr,Black Butte,FR101,Lws 3 zone
202,Suppe&Armstrong*,1972,127,4,K-Ar,wr,,wr,Ball Mtn.,1875,
186,Suppe*,1969,128,4,K-Ar,wr,Lws-Ab-Chl schist,wr,Black Butte,FR6,Lws 3 zone
72,Lanphere et al.,1978,129,8,Ar-Ar,wr,Metagraywacke3,wr,Pickett Peak,P-1042,
68,Lanphere et al.,1978,130,14,Ar-Ar,wr,Metabasalt3,wr,Yolla Bolly,62YB-90,
120,McDowell et al. ,1984,130,6,K-Ar,wr,Qtz Mica schist,wr,Hull Mtn,24,Bald Mtn. Schist
132,McDowell et al. ,1984,130,6,K-Ar,wr,amph,wr,Elk Cr. ,37,S. Fk. Mtn. Schist
140,McDowell et al. ,1984,130,12,K-Ar,wr,Qtz Mica schist,wr,Paskenta,45,S. Fk. Mtn. Schist
187,Suppe*,1969,130,4,K-Ar,wr,Lws-Ab-Chl schist,wr,Black Butte,9,Lws 3 zone
143,McDowell et al. ,1984,131,12,K-Ar,wr,Metatuff,wr,Paskenta,50,S.Fk.Mtn Metatuff
123,McDowell et al. ,1984,132,4,K-Ar,wr,Qtz Mica schist,wr,Hull Mtn,28,S. Fk. Mtn. Schist
131,McDowell et al. ,1984,132,6,K-Ar,wr,Qtz Mica schist,wr,Hull Mtn,36,S. Fk. Mtn. Schist
142,McDowell et al. ,1984,133,6,K-Ar,wr,Metatuff,wr,Paskenta,49,S.Fk.Mtn Metatuff
119,McDowell et al. ,1984,135,6,K-Ar,wr,Qtz Mica schist,wr,Hull Mtn,23,Bald Mtn. Schist
258,Suppe&Foland,1978,135,6,K-Ar,wr,Metagraywacke,wr,Goat Mtn,C-465,Other
192,Suppe*,1969,139,4,K-Ar,wr,,wr,Leech Lake Mtn.,PP2,
201,Suppe&Armstrong*,1972,139,6,K-Ar,wr,,wr,Ball Mtn.,1886,
121,McDowell et al. ,1984,141,10,K-Ar,wr,Qtz Mica schist,wr,Hull Mtn,25,Bald Mtn. Schist
144,McDowell et al. ,1984,141,6,K-Ar,wr,Metatuff,wr,Paskenta,51,S.Fk.Mtn Metatuff
108,McDowell et al. ,1985,142,6,K-Ar,wr,Gln schist,wr,Covelo-Layton.,13,Elk Creek Melange
206,Suppe&Armstrong*,1972,146,6,K-Ar,wr,,wr,Ball Mtn.,1944,
95,McDowell et al. ,1985,158,6,K-Ar,wr,Gln schist,wr,Covelo-Layton.,8,Laytonville Melange
138,McDowell et al. ,1984,158,6,K-Ar,wr,Qtz Mica schist,wr,Paskenta,43,S. Fk. Mtn. Schist
93,McDowell et al. ,1985,168,18,K-Ar,wr,Gln schist,wr,Covelo-Layton.,7,Laytonville Melange
