Analysis	GrsSps	Prp	Alm	Type
EA6aGt1	0.275	0.179	0.546	Porphyroblast
EA6aGt1	0.27	0.187	0.542	Porphyroblast
EA6aGt1	0.266	0.19	0.544	Porphyroblast
EA6aGt1	0.27	0.191	0.539	Porphyroblast
EA6aGt1	0.263	0.196	0.541	Porphyroblast
EA6aGt1	0.273	0.187	0.54	Porphyroblast
EA6aGt1	0.342	0.159	0.498	Porphyroblast
EA6aGt1	0.334	0.149	0.516	Porphyroblast
EA6aGt1	0.332	0.134	0.535	Porphyroblast
EA6aGt1	0.314	0.132	0.554	Porphyroblast
EA6aGt1	0.299	0.133	0.568	Porphyroblast
EA6aGt1	0.281	0.13	0.589	Porphyroblast
EA6aGt1	0.274	0.128	0.598	Porphyroblast
EA6aGt1	0.276	0.134	0.591	Porphyroblast
EA6aGt1	0.283	0.125	0.592	Porphyroblast
EA6aGt1	0.288	0.125	0.587	Porphyroblast
EA6aGt1	0.304	0.119	0.577	Porphyroblast
EA6aGt1	0.297	0.129	0.574	Porphyroblast
EA6aGt1	0.306	0.127	0.568	Porphyroblast
EA6aGt1	0.305	0.128	0.568	Porphyroblast
EA6aGt1	0.307	0.125	0.568	Porphyroblast
EA6aGt1	0.317	0.132	0.551	Porphyroblast
EA6aGt1	0.316	0.134	0.55	Porphyroblast
EA6aGt1	0.334	0.138	0.528	Porphyroblast
EA6aGt1	0.334	0.143	0.524	Porphyroblast
EA6aGt1	0.325	0.159	0.515	Porphyroblast
EA6aGt1	0.254	0.197	0.549	Porphyroblast
EA6aGt1	0.285	0.162	0.553	Porphyroblast
EA6aGt1	0.293	0.153	0.554	Porphyroblast
EA6aGt2	0.26	0.115	0.625	Porphyroblast
EA6aGt2	0.267	0.12	0.613	Porphyroblast
EA6aGt2	0.314	0.125	0.561	Porphyroblast
EA6aGt2	0.274	0.193	0.533	Porphyroblast
EA6aGt2	0.262	0.109	0.629	Porphyroblast
EA6aGt2	0.265	0.103	0.632	Porphyroblast
EA6aGt2	0.273	0.103	0.624	Porphyroblast
EA6aGt2	0.259	0.111	0.63	Porphyroblast
EA6aGt2	0.256	0.125	0.619	Porphyroblast
EA6aGt2	0.281	0.125	0.595	Porphyroblast
EA6aGt2	0.291	0.124	0.585	Porphyroblast
EA6aGt2	0.306	0.133	0.561	Porphyroblast
EA6aGt2	0.321	0.148	0.531	Porphyroblast
EA6aGt2	0.259	0.192	0.549	Porphyroblast
EA6aGt3	0.309	0.15	0.541	Vein
EA6aGt3	0.287	0.155	0.558	Vein
EA6aGt3	0.303	0.18	0.517	Vein
EA6aGt3	0.301	0.182	0.516	Vein
EA6aGt3	0.313	0.153	0.534	Vein
EA6aGt3	0.312	0.156	0.532	Vein
EA6aGt3	0.277	0.18	0.543	Vein
EA6aGt3	0.267	0.184	0.549	Vein
EA6aGt3	0.326	0.165	0.51	Vein
EA6aGt3	0.306	0.184	0.51	Vein
EA6aGt3	0.317	0.14	0.543	Vein
EA6aGt3	0.314	0.186	0.5	Vein
EA6aGt3	0.32	0.16	0.52	Vein
EA6aGt3	0.262	0.173	0.565	Vein
EA6aGt3	0.314	0.164	0.523	Vein
EA6aGt3	0.298	0.171	0.53	Vein
EA6aGt3	0.294	0.179	0.526	Vein
EA6aGt3	0.282	0.159	0.56	Vein
EA6aGt3	0.301	0.182	0.517	Vein
EA6aGt3	0.28	0.183	0.538	Vein
EA6aGt3	0.282	0.174	0.544	Vein
EA6aGt3	0.286	0.177	0.536	Vein
EA6aGt3	0.268	0.167	0.566	Vein
EA6aGt3	0.343	0.168	0.489	Vein
EA6aGt3	0.314	0.174	0.512	Vein
EA6aGt3	0.365	0.166	0.469	Vein
EA6aGt3	0.329	0.158	0.514	Vein
EA6aGt3	0.325	0.184	0.491	Vein
EA6aGt3	0.311	0.179	0.51	Vein
EA6aGt3	0.343	0.152	0.505	Vein
EA6aGt3	0.32	0.182	0.498	Vein
EA6aGt3	0.269	0.163	0.568	Vein
EA6aGt3	0.344	0.138	0.518	Vein
EA6aGt3	0.31	0.167	0.523	Vein
EA6aGt3	0.318	0.176	0.506	Vein
EA6aGt3	0.309	0.189	0.502	Vein
EA6aGt3	0.306	0.188	0.506	Vein
EA6aGt3	0.355	0.168	0.477	Vein
EA6aGt3	0.297	0.171	0.532	Vein
EA6aGt3	0.305	0.192	0.503	Vein
EA6aGt3	0.288	0.184	0.528	Vein
EA6aGt3	0.311	0.154	0.535	Vein
EA6aGt3	0.318	0.186	0.496	Vein
EA6aGt3	0.274	0.189	0.536	Vein
EA6aGt3	0.283	0.188	0.529	Vein
EA6aGt3	0.305	0.159	0.536	Vein
EA6aGt3	0.335	0.174	0.491	Vein
EA6aGt3	0.317	0.182	0.501	Vein
EA6aGt3	0.299	0.161	0.541	Vein
EA6aGt3	0.315	0.186	0.499	Vein
EA6aGt3	0.318	0.187	0.496	Vein
EA6aGt3	0.313	0.182	0.505	Vein
EA6bGt1	0.291	0.189	0.52	Porphyroblast
EA6bGt1	0.304	0.173	0.523	Porphyroblast
EA6bGt1	0.307	0.173	0.52	Porphyroblast
EA6bGt1	0.309	0.177	0.514	Porphyroblast
EA6bGt1	0.319	0.152	0.529	Porphyroblast
EA6bGt1	0.299	0.161	0.54	Porphyroblast
EA6bGt1	0.272	0.191	0.537	Porphyroblast
EA6bGt1	0.272	0.185	0.543	Porphyroblast
EA6bGt1	0.291	0.183	0.526	Porphyroblast
EA6bGt1	0.298	0.165	0.537	Porphyroblast
EA6bGt1	0.32	0.166	0.514	Porphyroblast
EA6bGt1	0.323	0.174	0.503	Porphyroblast
EA6bGt1	0.323	0.157	0.52	Porphyroblast
EA6bGt1	0.302	0.167	0.53	Porphyroblast
EA6bGt1	0.325	0.171	0.504	Porphyroblast
EA6bGt1	0.323	0.174	0.503	Porphyroblast
EA6bGt1	0.331	0.164	0.505	Porphyroblast
EA6bGt1	0.294	0.187	0.518	Porphyroblast
EA6bGt1	0.322	0.173	0.505	Porphyroblast
EA6bGt1	0.31	0.159	0.531	Porphyroblast
EA6bGt1	0.321	0.176	0.503	Porphyroblast
EA6bGt1	0.313	0.176	0.511	Porphyroblast
EA6bGt1	0.292	0.183	0.525	Porphyroblast
EA6bGt1	0.276	0.186	0.538	Porphyroblast
EA6bGt1	0.279	0.186	0.534	Porphyroblast
EA6bGt1	0.255	0.183	0.562	Porphyroblast
EA6bGt1	0.297	0.181	0.521	Porphyroblast
EA6bGt1	0.303	0.153	0.543	Porphyroblast
EA6bGt1	0.31	0.178	0.512	Porphyroblast
EA6bGt1	0.297	0.189	0.513	Porphyroblast
EA6bGt1	0.296	0.192	0.512	Porphyroblast
EA6bGt1	0.294	0.192	0.514	Porphyroblast
EA6bGt1	0.285	0.193	0.522	Porphyroblast
EA6bGt1	0.288	0.193	0.519	Porphyroblast
EA6bGt1	0.288	0.186	0.526	Porphyroblast
EA6bGt1	0.304	0.152	0.544	Porphyroblast
EA6bGt1	0.316	0.172	0.512	Porphyroblast
EA6bGt1	0.317	0.171	0.512	Porphyroblast
EA6bGt1	0.314	0.164	0.522	Porphyroblast
EA6bGt1	0.308	0.166	0.527	Porphyroblast
EA6bGt1	0.305	0.17	0.525	Porphyroblast
EA6bGt1	0.301	0.174	0.526	Porphyroblast
EA6bGt1	0.295	0.179	0.527	Porphyroblast
EA6bGt1	0.294	0.182	0.524	Porphyroblast
EA6bGt1	0.298	0.185	0.516	Porphyroblast
EA6bGt1	0.305	0.153	0.542	Porphyroblast
EA6bGt1	0.3	0.19	0.509	Porphyroblast
EA6bGt1	0.31	0.165	0.525	Porphyroblast
EA6bGt1	0.283	0.165	0.552	Porphyroblast
EA6bGt1	0.299	0.141	0.56	Porphyroblast
EA6bGt1	0.308	0.132	0.561	Porphyroblast
EA6bGt1	0.323	0.147	0.531	Porphyroblast
EA6bGt1	0.336	0.153	0.512	Porphyroblast
EA6bGt1	0.331	0.125	0.544	Porphyroblast
EA6bGt1	0.322	0.142	0.537	Porphyroblast
EA6bGt1	0.316	0.16	0.524	Porphyroblast
EA6bGt1	0.285	0.186	0.529	Porphyroblast
EA6bGt1	0.31	0.168	0.523	Porphyroblast
EA6bGt1	0.292	0.192	0.516	Porphyroblast
EA6bGt1	0.297	0.17	0.533	Porphyroblast
EA6bGt1	0.274	0.188	0.539	Porphyroblast
EA6bGt1	0.289	0.184	0.527	Porphyroblast
EA6bGt1	0.303	0.177	0.52	Porphyroblast
EA6bGt1	0.307	0.175	0.518	Porphyroblast
EA6bGt1	0.299	0.172	0.529	Porphyroblast
EA6bGt1	0.282	0.184	0.535	Porphyroblast
EA6bGt1	0.298	0.175	0.527	Porphyroblast
EA6bGt1	0.305	0.168	0.528	Porphyroblast
EA6bGt1	0.292	0.172	0.536	Porphyroblast
EA6bGt1	0.268	0.187	0.545	Porphyroblast
EA6bGt1	0.315	0.174	0.511	Porphyroblast
EA6bGt1	0.302	0.189	0.509	Porphyroblast
EA6bGt1	0.315	0.18	0.505	Porphyroblast
EA6bGt1	0.293	0.179	0.529	Porphyroblast
EA6cGt1	0.252	0.193	0.555	Porphyroblast
EA6cGt1	0.231	0.222	0.547	Porphyroblast
EA6cGt1	0.223	0.219	0.558	Porphyroblast
EA6cGt1	0.232	0.205	0.563	Porphyroblast
EA6cGt1	0.239	0.185	0.576	Porphyroblast
EA6cGt1	0.23	0.182	0.587	Porphyroblast
EA6cGt1	0.228	0.174	0.598	Porphyroblast
EA6cGt1	0.246	0.162	0.592	Porphyroblast
EA6cGt1	0.26	0.151	0.589	Porphyroblast
EA6cGt1	0.275	0.133	0.592	Porphyroblast
EA6cGt1	0.283	0.123	0.594	Porphyroblast
EA6cGt1	0.292	0.117	0.591	Porphyroblast
EA6cGt1	0.294	0.111	0.595	Porphyroblast
EA6cGt1	0.306	0.108	0.586	Porphyroblast
EA6cGt1	0.3	0.107	0.593	Porphyroblast
EA6cGt1	0.306	0.106	0.588	Porphyroblast
EA6cGt1	0.299	0.109	0.592	Porphyroblast
EA6cGt1	0.293	0.118	0.589	Porphyroblast
EA6cGt1	0.282	0.118	0.6	Porphyroblast
EA6cGt1	0.283	0.117	0.6	Porphyroblast
EA6cGt1	0.272	0.124	0.604	Porphyroblast
EA6cGt1	0.272	0.126	0.602	Porphyroblast
EA6cGt1	0.294	0.132	0.574	Porphyroblast
EA6cGt1	0.243	0.175	0.581	Porphyroblast
EA6cGt1	0.239	0.192	0.569	Porphyroblast
EA6cGt1	0.218	0.204	0.578	Porphyroblast
EA6cGt1	0.223	0.209	0.568	Porphyroblast
EA6cGt1	0.231	0.202	0.566	Porphyroblast
EA6cGt1	0.256	0.183	0.561	Porphyroblast
EA6cGt2	0.25	0.189	0.561	Vein
EA6cGt2	0.287	0.144	0.569	Vein
EA6cGt2	0.269	0.149	0.582	Vein
EA6cGt2	0.292	0.136	0.571	Vein
EA6cGt2	0.25	0.159	0.591	Vein
EA6cGt2	0.291	0.133	0.576	Vein
EA6cGt3	0.302	0.188	0.511	Porphyroblast
EA6cGt4	0.308	0.195	0.497	Porphyroblast
EA6cGt5	0.296	0.205	0.499	Porphyroblast
EA6cGt6	0.288	0.214	0.497	Porphyroblast
EA6cGt7	0.283	0.205	0.511	Porphyroblast
EA6cGt8	0.265	0.211	0.524	Porphyroblast
EA6cGt9	0.253	0.208	0.539	Porphyroblast
EA6cGt10	0.242	0.221	0.537	Porphyroblast
EA6cGt11	0.249	0.205	0.546	Porphyroblast
EA6cGt12	0.241	0.224	0.535	Porphyroblast
