Spot,Age_Status,Population,Age,Error
JSEA4-1.1,Include,Matrix,150,7
JSEA4-2.1,Include,Matrix,156,5
JSEA4-2.2,Include,Matrix,165,2
JSEA4-3.1,Include,Matrix,144,6
JSEA4-4.1,Exclude,Matrix,82,5
JSEA4-6.1,Include,Matrix,161,2
JSEA4-6.2,Include,Matrix,168,5
JSEA4-7.1,Exclude,Matrix,233,14
JSEA4-7.2,Exclude,Matrix,171,30
JSEA4-8.1,Include,Matrix,148,7
JSEA4-8.2,Include,Matrix,162,6
JSEA4-9.1,Include,Matrix,161,8
JSEA4-9.2,Include,Matrix,160,4
JSEA4-10.1,Include,Matrix,148,5
JSEA4-10.2,Exclude,Matrix,168,11
JSEA4-11.1,Include,Matrix,144,10
JSEA4-12.1,Include,Matrix,154,4
JSEA4-12.2,Include,Matrix,155,2
JSEA4-13.1,Include,Matrix,133,6
JSEA4-13.2,Exclude,Matrix,87,3
JSEA4-14.1,Include,Matrix,165,2
JSEA4-14.2,Include,Matrix,159,3
JSEA4-15.1,Exclude,Matrix,10,23
JSEA4-16.1,Include,Matrix,166,3
JSEA1-1.2,Include,Garnet,177,4
JSEA1-1-5.1,Include,Garnet,181,2
JSEA1-1-8,Include,Garnet,171,5
JSEA1-1-8-2,Include,Garnet,175,3
JSEA1-1-9.1,Exclude,Garnet,215,16
JSEA1-1-9.2,Include,Garnet,208,9
JSEA1-1-13.1,Include,Garnet,177,4
JSEA1-1-13.2,Include,Garnet,176,2
JSEA1-1-14,Include,Garnet,170,7
JSEA1-2-3,Exclude,Garnet,160,10
JSEA1-2-5.1,Include,Garnet,168,5
JSEA1-2-9,Exclude,Garnet,253,56
JSEA1-2-11,Include,Garnet,196,7
JSEA1-2-12.1,Exclude,Garnet,190,15
JSEA1-2-16,Include,Garnet,182,3
JSEA2-3-1,Include,Garnet,175,6
JSEA2-3-2,Include,Garnet,161,5
JSEA2-3-9,Include,Garnet,163,3
JSEA2-3-11,Exclude,Garnet,170,6
JSEA2-3-16.1,Exclude,Garnet,145,5
JSEA2-3-16.2,Include,Garnet,164,5
JSEA2-3-17.1,Exclude,Garnet,164,10
JSEA2-3-17.2,Exclude,Garnet,197,10
JSEA2-4-5,Include,Garnet,169,7
JSEA2-4-6.1,Exclude,Garnet,164,35
JSEA2-4-7.1,Include,Garnet,183,4
JSEA2-5-1.1,Include,Garnet,177,5
JSEA2-6-5.1,Include,Garnet,201,12
JSEA2-6-5.2,Exclude,Garnet,210,17
