Spot,Occurrence,Age_Status,Ree_Status,Age,Error,AgeGroup,Y,Nb,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,U,Th
JSEA4-1.1,Matrix,Include,Include,150,7,150,933,NA,0.563,11,NA,2.58,NA,6.31,6.39,47.6,NA,123,NA,135,NA,185,NA,7023.565,943.68,207.399
JSEA4-2.1,Matrix,Include,Include,156,5,150,3299,NA,1.572,64.2,NA,2.32,NA,5.12,0.92,48.4,NA,254,NA,559,NA,1302,NA,9564.496,337.408,483.228
JSEA4-2.2,Matrix,Include,Include,165,2,160,261,NA,0.233,1.2,NA,0.08,NA,0.16,0.2,1.8,NA,13,NA,63,NA,385,NA,8179.415,67.481,39.725
JSEA4-3.1,Matrix,Include,Include,144,6,140,1042,NA,36.19,106.29,NA,30.3,NA,15.7,27.68,42.4,NA,80,NA,239,NA,842,NA,7018.719,1146.905,2227.713
JSEA4-4.1,Matrix,Exclude,Exclude,82,5,80,85,NA,0.487,5.5,NA,0.84,NA,0.79,9.14,3.1,NA,8,NA,15,NA,44,NA,8370.409,21.704,0.342
JSEA4-6.1,Matrix,Include,Include,161,2,160,591,NA,0.08,3.9,NA,0.55,NA,1.2,0.82,10.6,NA,48,NA,110,NA,297,NA,7939.415,160.6,59.338
JSEA4-6.2,Matrix,Include,Include,168,5,160,234,NA,0.444,1.9,NA,0.09,NA,0.27,0.16,2.7,NA,17,NA,46,NA,145,NA,7346.548,226.48,48.42
JSEA4-7.1,Matrix,Exclude,Exclude,233,14,200,74,NA,1.17,0.8,NA,0.09,NA,0.09,0.4,0.5,NA,3.4,NA,19,NA,111,NA,10003.239,33.087,4.449
JSEA4-7.2,Matrix,Exclude,Exclude,171,30,170,1620,NA,5.092,29,NA,8.13,NA,8.34,3.32,44.9,NA,147,NA,296,NA,706,NA,7535.992,1113.602,1148.568
JSEA4-8.1,Matrix,Include,Include,148,7,140,266,NA,0.553,3.3,NA,0.55,NA,0.74,1.28,5.5,NA,21,NA,45,NA,122,NA,7778.584,286.369,178.575
JSEA4-8.2,Matrix,Include,Include,162,6,160,611,NA,0.035,3.7,NA,0.15,NA,0.74,0.1,8.6,NA,52,NA,113,NA,247,NA,8102.714,491.47,153.219
JSEA4-9.1,Matrix,Include,Include,161,8,160,128,NA,0.059,0.1,NA,0.02,NA,0.15,0.22,1.5,NA,11,NA,17,NA,30,NA,8412.308,30.962,0.097
JSEA4-9.2,Matrix,Include,Include,160,4,160,186,NA,0.01,0.2,NA,0.03,NA,0.18,0.28,3.1,NA,17,NA,26,NA,55,NA,8752.634,43.328,0.259
JSEA4-10.1,Matrix,Include,Exclude,148,5,140,320,NA,7.322,21.6,NA,10.02,NA,6.14,52.93,19.6,NA,29,NA,60,NA,220,NA,6397.135,227.283,87.577
JSEA4-10.2,Matrix,Include,Exclude,168,11,160,1583,NA,56.366,102.9,NA,47.54,NA,26.66,178.04,100.1,NA,163,NA,240,NA,483,NA,5675.417,5039.12,1735.157
JSEA4-11.1,Matrix,Include,Include,144,10,140,51,NA,0.009,0.1,NA,0.01,NA,0.04,0.02,0.1,NA,2,NA,10,NA,28,NA,9859.508,4.287,0.451
